id,restaurant_id,tag,created_at,updated_at
1,121,Thai,2025-03-07 04:03:13.680046,2025-03-07 04:03:13.680046
2,121,Japanese,2025-03-07 04:03:13.680046,2025-03-07 04:03:13.680046
3,122,Japanese,2025-09-20 21:13:40.682808,2025-09-20 21:13:40.682808
4,122,Italian,2025-09-20 21:13:40.682808,2025-09-20 21:13:40.682808
5,122,Dessert,2025-09-20 21:13:40.682808,2025-09-20 21:13:40.682808
6,123,Healthy,2025-03-05 20:00:54.206722,2025-03-05 20:00:54.206722
7,123,Mexican,2025-03-05 20:00:54.206722,2025-03-05 20:00:54.206722
8,123,Thai,2025-03-05 20:00:54.206722,2025-03-05 20:00:54.206722
9,123,Fast Food,2025-03-05 20:00:54.206722,2025-03-05 20:00:54.206722
10,123,Dessert,2025-03-05 20:00:54.206722,2025-03-05 20:00:54.206722
11,124,Healthy,2025-01-26 04:04:44.845521,2025-01-26 04:04:44.845521
12,124,Italian,2025-01-26 04:04:44.845521,2025-01-26 04:04:44.845521
13,125,Dessert,2025-04-23 07:22:12.048235,2025-04-23 07:22:12.048235
14,125,Healthy,2025-04-23 07:22:12.048235,2025-04-23 07:22:12.048235
15,126,Mexican,2025-04-07 21:01:06.971578,2025-04-07 21:01:06.971578
16,126,Japanese,2025-04-07 21:01:06.971578,2025-04-07 21:01:06.971578
17,126,Fast Food,2025-04-07 21:01:06.971578,2025-04-07 21:01:06.971578
18,126,Healthy,2025-04-07 21:01:06.971578,2025-04-07 21:01:06.971578
19,127,Italian,2025-05-01 11:02:17.967630,2025-05-01 11:02:17.967630
20,127,Dessert,2025-05-01 11:02:17.967630,2025-05-01 11:02:17.967630
21,127,Fast Food,2025-05-01 11:02:17.967630,2025-05-01 11:02:17.967630
22,128,Healthy,2025-07-13 00:37:11.803817,2025-07-13 00:37:11.803817
23,128,Italian,2025-07-13 00:37:11.803817,2025-07-13 00:37:11.803817
24,129,Dessert,2025-07-02 20:21:36.135461,2025-07-02 20:21:36.135461
25,129,Healthy,2025-07-02 20:21:36.135461,2025-07-02 20:21:36.135461
26,129,Thai,2025-07-02 20:21:36.135461,2025-07-02 20:21:36.135461
27,129,Fast Food,2025-07-02 20:21:36.135461,2025-07-02 20:21:36.135461
28,129,Japanese,2025-07-02 20:21:36.135461,2025-07-02 20:21:36.135461
29,130,Thai,2025-07-14 16:23:42.282568,2025-07-14 16:23:42.282568
30,130,Japanese,2025-07-14 16:23:42.282568,2025-07-14 16:23:42.282568
31,130,Dessert,2025-07-14 16:23:42.282568,2025-07-14 16:23:42.282568
32,131,Italian,2025-07-02 10:34:34.519124,2025-07-02 10:34:34.519124
33,131,Japanese,2025-07-02 10:34:34.519124,2025-07-02 10:34:34.519124
34,131,Thai,2025-07-02 10:34:34.519124,2025-07-02 10:34:34.519124
35,131,Fast Food,2025-07-02 10:34:34.519124,2025-07-02 10:34:34.519124
36,132,Mexican,2025-08-30 15:49:15.622790,2025-08-30 15:49:15.622790
37,132,Healthy,2025-08-30 15:49:15.622790,2025-08-30 15:49:15.622790
38,132,Thai,2025-08-30 15:49:15.622790,2025-08-30 15:49:15.622790
39,133,Italian,2025-08-18 19:31:37.500193,2025-08-18 19:31:37.500193
40,133,Healthy,2025-08-18 19:31:37.500193,2025-08-18 19:31:37.500193
41,133,Mexican,2025-08-18 19:31:37.500193,2025-08-18 19:31:37.500193
42,133,Japanese,2025-08-18 19:31:37.500193,2025-08-18 19:31:37.500193
43,134,Thai,2025-02-20 17:56:52.280059,2025-02-20 17:56:52.280059
44,134,Mexican,2025-02-20 17:56:52.280059,2025-02-20 17:56:52.280059
45,134,Japanese,2025-02-20 17:56:52.280059,2025-02-20 17:56:52.280059
46,134,Fast Food,2025-02-20 17:56:52.280059,2025-02-20 17:56:52.280059
47,134,Italian,2025-02-20 17:56:52.280059,2025-02-20 17:56:52.280059
48,135,Mexican,2025-05-27 04:17:40.919136,2025-05-27 04:17:40.919136
49,135,Thai,2025-05-27 04:17:40.919136,2025-05-27 04:17:40.919136
50,135,Fast Food,2025-05-27 04:17:40.919136,2025-05-27 04:17:40.919136
