customer_id,restaurant_id,created_at,updated_at
1,112,2025-07-11 13:41:15.078731,2025-07-11 13:41:15.078731
1,111,2025-07-11 13:41:15.078731,2025-07-11 13:41:15.078731
1,118,2025-07-11 13:41:15.078731,2025-07-11 13:41:15.078731
2,110,2025-10-01 23:00:54.952046,2025-10-01 23:00:54.952046
3,113,2025-10-25 19:17:16.748342,2025-10-25 19:17:16.748342
3,120,2025-10-25 19:17:16.748342,2025-10-25 19:17:16.748342
4,117,2025-07-14 13:13:13.811597,2025-07-14 13:13:13.811597
4,113,2025-07-14 13:13:13.811597,2025-07-14 13:13:13.811597
5,115,2025-06-03 09:12:11.972023,2025-06-03 09:12:11.972023
5,111,2025-06-03 09:12:11.972023,2025-06-03 09:12:11.972023
6,113,2025-07-18 08:17:53.794940,2025-07-18 08:17:53.794940
6,123,2025-07-18 08:17:53.794940,2025-07-18 08:17:53.794940
6,110,2025-07-18 08:17:53.794940,2025-07-18 08:17:53.794940
7,123,2025-07-01 23:38:15.589397,2025-07-01 23:38:15.589397
7,121,2025-07-01 23:38:15.589397,2025-07-01 23:38:15.589397
7,112,2025-07-01 23:38:15.589397,2025-07-01 23:38:15.589397
8,117,2025-09-11 14:11:51.925766,2025-09-11 14:11:51.925766
8,108,2025-09-11 14:11:51.925766,2025-09-11 14:11:51.925766
8,109,2025-09-11 14:11:51.925766,2025-09-11 14:11:51.925766
9,123,2025-07-03 01:12:42.398836,2025-07-03 01:12:42.398836
9,110,2025-07-03 01:12:42.398836,2025-07-03 01:12:42.398836
9,111,2025-07-03 01:12:42.398836,2025-07-03 01:12:42.398836
10,121,2025-10-24 17:13:25.917354,2025-10-24 17:13:25.917354
10,108,2025-10-24 17:13:25.917354,2025-10-24 17:13:25.917354
10,120,2025-10-24 17:13:25.917354,2025-10-24 17:13:25.917354
11,122,2025-10-22 21:39:11.810262,2025-10-22 21:39:11.810262
12,106,2025-11-13 20:31:06.513297,2025-11-13 20:31:06.513297
12,118,2025-11-13 20:31:06.513297,2025-11-13 20:31:06.513297
12,114,2025-11-13 20:31:06.513297,2025-11-13 20:31:06.513297
13,108,2025-07-18 16:08:45.775197,2025-07-18 16:08:45.775197
13,107,2025-07-18 16:08:45.775197,2025-07-18 16:08:45.775197
13,119,2025-07-18 16:08:45.775197,2025-07-18 16:08:45.775197
14,107,2025-09-08 03:51:54.527578,2025-09-08 03:51:54.527578
14,115,2025-09-08 03:51:54.527578,2025-09-08 03:51:54.527578
15,120,2025-10-16 13:51:12.027569,2025-10-16 13:51:12.027569
15,118,2025-10-16 13:51:12.027569,2025-10-16 13:51:12.027569
16,123,2025-07-14 12:23:25.504726,2025-07-14 12:23:25.504726
17,120,2025-05-29 22:56:05.394676,2025-05-29 22:56:05.394676
17,119,2025-05-29 22:56:05.394676,2025-05-29 22:56:05.394676
18,114,2025-07-28 16:24:44.150057,2025-07-28 16:24:44.150057
19,119,2025-11-12 19:59:15.255921,2025-11-12 19:59:15.255921
19,106,2025-11-12 19:59:15.255921,2025-11-12 19:59:15.255921
19,113,2025-11-12 19:59:15.255921,2025-11-12 19:59:15.255921
20,107,2025-10-09 03:09:07.575788,2025-10-09 03:09:07.575788
20,120,2025-10-09 03:09:07.575788,2025-10-09 03:09:07.575788
20,123,2025-10-09 03:09:07.575788,2025-10-09 03:09:07.575788
21,113,2025-11-11 19:10:42.107217,2025-11-11 19:10:42.107217
21,112,2025-11-11 19:10:42.107217,2025-11-11 19:10:42.107217
22,115,2025-09-17 20:55:55.886100,2025-09-17 20:55:55.886100
22,113,2025-09-17 20:55:55.886100,2025-09-17 20:55:55.886100
22,116,2025-09-17 20:55:55.886100,2025-09-17 20:55:55.886100
23,115,2025-05-31 22:17:36.101599,2025-05-31 22:17:36.101599
23,114,2025-05-31 22:17:36.101599,2025-05-31 22:17:36.101599
24,119,2025-07-16 03:48:54.881333,2025-07-16 03:48:54.881333
24,121,2025-07-16 03:48:54.881333,2025-07-16 03:48:54.881333
24,107,2025-07-16 03:48:54.881333,2025-07-16 03:48:54.881333
25,110,2025-09-26 10:15:16.225145,2025-09-26 10:15:16.225145
25,115,2025-09-26 10:15:16.225145,2025-09-26 10:15:16.225145
26,110,2025-08-27 08:32:33.310194,2025-08-27 08:32:33.310194
26,120,2025-08-27 08:32:33.310194,2025-08-27 08:32:33.310194
27,123,2025-05-19 15:52:04.747838,2025-05-19 15:52:04.747838
27,122,2025-05-19 15:52:04.747838,2025-05-19 15:52:04.747838
28,112,2025-09-25 15:11:56.996567,2025-09-25 15:11:56.996567
28,116,2025-09-25 15:11:56.996567,2025-09-25 15:11:56.996567
29,108,2025-08-13 11:38:28.658437,2025-08-13 11:38:28.658437
29,112,2025-08-13 11:38:28.658437,2025-08-13 11:38:28.658437
30,107,2025-09-02 22:29:14.396574,2025-09-02 22:29:14.396574
30,108,2025-09-02 22:29:14.396574,2025-09-02 22:29:14.396574
31,116,2025-11-04 12:24:51.163143,2025-11-04 12:24:51.163143
32,109,2025-09-06 14:41:23.130444,2025-09-06 14:41:23.130444
32,121,2025-09-06 14:41:23.130444,2025-09-06 14:41:23.130444
32,113,2025-09-06 14:41:23.130444,2025-09-06 14:41:23.130444
33,120,2025-10-17 04:09:21.111044,2025-10-17 04:09:21.111044
33,117,2025-10-17 04:09:21.111044,2025-10-17 04:09:21.111044
34,109,2025-09-20 17:31:52.351807,2025-09-20 17:31:52.351807
34,121,2025-09-20 17:31:52.351807,2025-09-20 17:31:52.351807
35,107,2025-07-01 06:44:36.373120,2025-07-01 06:44:36.373120
35,113,2025-07-01 06:44:36.373120,2025-07-01 06:44:36.373120
36,119,2025-07-04 22:45:21.838141,2025-07-04 22:45:21.838141
36,115,2025-07-04 22:45:21.838141,2025-07-04 22:45:21.838141
36,110,2025-07-04 22:45:21.838141,2025-07-04 22:45:21.838141
37,113,2025-06-30 05:56:06.817201,2025-06-30 05:56:06.817201
37,121,2025-06-30 05:56:06.817201,2025-06-30 05:56:06.817201
38,117,2025-10-25 04:18:04.706869,2025-10-25 04:18:04.706869
39,123,2025-07-26 10:10:26.656392,2025-07-26 10:10:26.656392
40,107,2025-11-13 03:50:23.519975,2025-11-13 03:50:23.519975
41,113,2025-10-22 07:57:32.143076,2025-10-22 07:57:32.143076
42,112,2025-05-30 15:49:39.565527,2025-05-30 15:49:39.565527
43,106,2025-06-28 10:35:33.011998,2025-06-28 10:35:33.011998
44,122,2025-06-18 01:30:49.501746,2025-06-18 01:30:49.501746
45,112,2025-09-08 05:04:52.032089,2025-09-08 05:04:52.032089
46,118,2025-08-15 02:05:02.907619,2025-08-15 02:05:02.907619
46,120,2025-08-15 02:05:02.907619,2025-08-15 02:05:02.907619
47,118,2025-06-22 23:05:40.660786,2025-06-22 23:05:40.660786
48,111,2025-11-04 16:26:04.394926,2025-11-04 16:26:04.394926
48,108,2025-11-04 16:26:04.394926,2025-11-04 16:26:04.394926
48,121,2025-11-04 16:26:04.394926,2025-11-04 16:26:04.394926
49,121,2025-11-09 05:05:46.268827,2025-11-09 05:05:46.268827
50,107,2025-11-14 19:05:09.507396,2025-11-14 19:05:09.507396
50,111,2025-11-14 19:05:09.507396,2025-11-14 19:05:09.507396
50,116,2025-11-14 19:05:09.507396,2025-11-14 19:05:09.507396
51,110,2025-07-14 12:42:47.442912,2025-07-14 12:42:47.442912
51,118,2025-07-14 12:42:47.442912,2025-07-14 12:42:47.442912
51,108,2025-07-14 12:42:47.442912,2025-07-14 12:42:47.442912
52,123,2025-10-03 22:51:34.693119,2025-10-03 22:51:34.693119
52,116,2025-10-03 22:51:34.693119,2025-10-03 22:51:34.693119
52,118,2025-10-03 22:51:34.693119,2025-10-03 22:51:34.693119
53,117,2025-08-17 09:16:18.698669,2025-08-17 09:16:18.698669
53,107,2025-08-17 09:16:18.698669,2025-08-17 09:16:18.698669
53,109,2025-08-17 09:16:18.698669,2025-08-17 09:16:18.698669
54,106,2025-06-07 21:07:43.062019,2025-06-07 21:07:43.062019
54,114,2025-06-07 21:07:43.062019,2025-06-07 21:07:43.062019
55,111,2025-06-07 03:47:21.291696,2025-06-07 03:47:21.291696
55,118,2025-06-07 03:47:21.291696,2025-06-07 03:47:21.291696
56,108,2025-09-13 15:23:26.969065,2025-09-13 15:23:26.969065
57,118,2025-05-25 17:36:29.545508,2025-05-25 17:36:29.545508
58,109,2025-10-08 01:17:22.401781,2025-10-08 01:17:22.401781
58,108,2025-10-08 01:17:22.401781,2025-10-08 01:17:22.401781
59,117,2025-11-04 07:24:50.993365,2025-11-04 07:24:50.993365
59,114,2025-11-04 07:24:50.993365,2025-11-04 07:24:50.993365
60,111,2025-10-21 11:28:24.153572,2025-10-21 11:28:24.153572
61,117,2025-09-24 17:23:18.980616,2025-09-24 17:23:18.980616
62,118,2025-09-25 07:34:55.893904,2025-09-25 07:34:55.893904
62,108,2025-09-25 07:34:55.893904,2025-09-25 07:34:55.893904
63,114,2025-07-17 13:57:01.707199,2025-07-17 13:57:01.707199
63,121,2025-07-17 13:57:01.707199,2025-07-17 13:57:01.707199
64,114,2025-06-08 16:47:10.575449,2025-06-08 16:47:10.575449
64,119,2025-06-08 16:47:10.575449,2025-06-08 16:47:10.575449
65,113,2025-08-19 20:50:21.995597,2025-08-19 20:50:21.995597
65,121,2025-08-19 20:50:21.995597,2025-08-19 20:50:21.995597
66,118,2025-07-20 19:13:42.866660,2025-07-20 19:13:42.866660
67,119,2025-09-25 03:25:05.422027,2025-09-25 03:25:05.422027
67,110,2025-09-25 03:25:05.422027,2025-09-25 03:25:05.422027
68,111,2025-07-21 16:10:14.303787,2025-07-21 16:10:14.303787
68,118,2025-07-21 16:10:14.303787,2025-07-21 16:10:14.303787
69,118,2025-07-27 00:41:26.000782,2025-07-27 00:41:26.000782
69,114,2025-07-27 00:41:26.000782,2025-07-27 00:41:26.000782
70,123,2025-09-06 13:47:41.174683,2025-09-06 13:47:41.174683
70,106,2025-09-06 13:47:41.174683,2025-09-06 13:47:41.174683
70,120,2025-09-06 13:47:41.174683,2025-09-06 13:47:41.174683
71,108,2025-06-28 05:36:41.645926,2025-06-28 05:36:41.645926
71,119,2025-06-28 05:36:41.645926,2025-06-28 05:36:41.645926
71,121,2025-06-28 05:36:41.645926,2025-06-28 05:36:41.645926
72,110,2025-06-30 15:52:59.717490,2025-06-30 15:52:59.717490
72,119,2025-06-30 15:52:59.717490,2025-06-30 15:52:59.717490
73,122,2025-10-30 10:14:22.167581,2025-10-30 10:14:22.167581
73,119,2025-10-30 10:14:22.167581,2025-10-30 10:14:22.167581
73,107,2025-10-30 10:14:22.167581,2025-10-30 10:14:22.167581
74,117,2025-09-13 02:05:30.529412,2025-09-13 02:05:30.529412
74,111,2025-09-13 02:05:30.529412,2025-09-13 02:05:30.529412
74,107,2025-09-13 02:05:30.529412,2025-09-13 02:05:30.529412
75,114,2025-06-30 22:26:55.665541,2025-06-30 22:26:55.665541
76,118,2025-10-07 12:07:01.705844,2025-10-07 12:07:01.705844
76,120,2025-10-07 12:07:01.705844,2025-10-07 12:07:01.705844
77,115,2025-09-24 17:55:41.846309,2025-09-24 17:55:41.846309
78,116,2025-05-22 09:36:31.435239,2025-05-22 09:36:31.435239
78,120,2025-05-22 09:36:31.435239,2025-05-22 09:36:31.435239
79,109,2025-10-20 23:39:54.206299,2025-10-20 23:39:54.206299
79,120,2025-10-20 23:39:54.206299,2025-10-20 23:39:54.206299
80,109,2025-07-30 06:33:25.332150,2025-07-30 06:33:25.332150
80,106,2025-07-30 06:33:25.332150,2025-07-30 06:33:25.332150
80,116,2025-07-30 06:33:25.332150,2025-07-30 06:33:25.332150
