id,restaurant_id,tag,created_at,updated_at
1,106,Healthy,2025-07-14 00:55:36.661247,2025-07-14 00:55:36.661247
2,106,Italian,2025-07-14 00:55:36.661247,2025-07-14 00:55:36.661247
3,106,Vegan,2025-07-14 00:55:36.661247,2025-07-14 00:55:36.661247
4,107,Fast Food,2025-07-01 05:26:32.020775,2025-07-01 05:26:32.020775
5,107,Dessert,2025-07-01 05:26:32.020775,2025-07-01 05:26:32.020775
6,107,Thai,2025-07-01 05:26:32.020775,2025-07-01 05:26:32.020775
7,108,Vegan,2025-07-06 01:54:33.766083,2025-07-06 01:54:33.766083
8,108,Mexican,2025-07-06 01:54:33.766083,2025-07-06 01:54:33.766083
9,109,Vegan,2025-06-14 07:00:42.336730,2025-06-14 07:00:42.336730
10,109,Dessert,2025-06-14 07:00:42.336730,2025-06-14 07:00:42.336730
11,109,Thai,2025-06-14 07:00:42.336730,2025-06-14 07:00:42.336730
12,109,Mexican,2025-06-14 07:00:42.336730,2025-06-14 07:00:42.336730
13,110,Vegan,2025-09-29 20:39:09.951368,2025-09-29 20:39:09.951368
14,110,Italian,2025-09-29 20:39:09.951368,2025-09-29 20:39:09.951368
15,110,Thai,2025-09-29 20:39:09.951368,2025-09-29 20:39:09.951368
16,110,Mexican,2025-09-29 20:39:09.951368,2025-09-29 20:39:09.951368
17,110,Japanese,2025-09-29 20:39:09.951368,2025-09-29 20:39:09.951368
18,111,Mexican,2025-05-29 00:35:14.100977,2025-05-29 00:35:14.100977
19,111,Healthy,2025-05-29 00:35:14.100977,2025-05-29 00:35:14.100977
20,111,Italian,2025-05-29 00:35:14.100977,2025-05-29 00:35:14.100977
21,111,Vegan,2025-05-29 00:35:14.100977,2025-05-29 00:35:14.100977
22,112,Japanese,2025-06-11 09:02:21.968313,2025-06-11 09:02:21.968313
23,112,Healthy,2025-06-11 09:02:21.968313,2025-06-11 09:02:21.968313
24,113,Healthy,2025-10-14 16:43:59.184391,2025-10-14 16:43:59.184391
25,113,Dessert,2025-10-14 16:43:59.184391,2025-10-14 16:43:59.184391
26,114,Fast Food,2025-09-22 00:20:39.284220,2025-09-22 00:20:39.284220
27,114,Italian,2025-09-22 00:20:39.284220,2025-09-22 00:20:39.284220
28,114,Mexican,2025-09-22 00:20:39.284220,2025-09-22 00:20:39.284220
29,114,Dessert,2025-09-22 00:20:39.284220,2025-09-22 00:20:39.284220
30,114,Japanese,2025-09-22 00:20:39.284220,2025-09-22 00:20:39.284220
31,115,Italian,2025-05-22 03:26:45.785569,2025-05-22 03:26:45.785569
32,115,Mexican,2025-05-22 03:26:45.785569,2025-05-22 03:26:45.785569
33,115,Fast Food,2025-05-22 03:26:45.785569,2025-05-22 03:26:45.785569
34,115,Thai,2025-05-22 03:26:45.785569,2025-05-22 03:26:45.785569
35,115,Japanese,2025-05-22 03:26:45.785569,2025-05-22 03:26:45.785569
36,116,Mexican,2025-07-27 04:38:17.689075,2025-07-27 04:38:17.689075
37,116,Japanese,2025-07-27 04:38:17.689075,2025-07-27 04:38:17.689075
38,116,Healthy,2025-07-27 04:38:17.689075,2025-07-27 04:38:17.689075
39,116,Fast Food,2025-07-27 04:38:17.689075,2025-07-27 04:38:17.689075
40,116,Vegan,2025-07-27 04:38:17.689075,2025-07-27 04:38:17.689075
41,117,Dessert,2025-10-25 07:16:16.019063,2025-10-25 07:16:16.019063
42,117,Vegan,2025-10-25 07:16:16.019063,2025-10-25 07:16:16.019063
43,118,Dessert,2025-09-17 07:34:22.822490,2025-09-17 07:34:22.822490
44,118,Japanese,2025-09-17 07:34:22.822490,2025-09-17 07:34:22.822490
45,118,Healthy,2025-09-17 07:34:22.822490,2025-09-17 07:34:22.822490
46,118,Italian,2025-09-17 07:34:22.822490,2025-09-17 07:34:22.822490
47,119,Healthy,2025-11-08 15:20:49.617506,2025-11-08 15:20:49.617506
48,119,Fast Food,2025-11-08 15:20:49.617506,2025-11-08 15:20:49.617506
49,119,Thai,2025-11-08 15:20:49.617506,2025-11-08 15:20:49.617506
50,120,Japanese,2025-05-31 06:29:59.271965,2025-05-31 06:29:59.271965
51,120,Healthy,2025-05-31 06:29:59.271965,2025-05-31 06:29:59.271965
52,120,Vegan,2025-05-31 06:29:59.271965,2025-05-31 06:29:59.271965
53,120,Fast Food,2025-05-31 06:29:59.271965,2025-05-31 06:29:59.271965
54,121,Fast Food,2025-05-25 15:55:51.910480,2025-05-25 15:55:51.910480
55,121,Dessert,2025-05-25 15:55:51.910480,2025-05-25 15:55:51.910480
56,121,Vegan,2025-05-25 15:55:51.910480,2025-05-25 15:55:51.910480
57,121,Healthy,2025-05-25 15:55:51.910480,2025-05-25 15:55:51.910480
58,121,Italian,2025-05-25 15:55:51.910480,2025-05-25 15:55:51.910480
59,122,Mexican,2025-07-02 01:05:00.369108,2025-07-02 01:05:00.369108
60,122,Vegan,2025-07-02 01:05:00.369108,2025-07-02 01:05:00.369108
61,122,Fast Food,2025-07-02 01:05:00.369108,2025-07-02 01:05:00.369108
62,122,Healthy,2025-07-02 01:05:00.369108,2025-07-02 01:05:00.369108
63,122,Dessert,2025-07-02 01:05:00.369108,2025-07-02 01:05:00.369108
64,123,Japanese,2025-07-22 12:58:26.245749,2025-07-22 12:58:26.245749
65,123,Italian,2025-07-22 12:58:26.245749,2025-07-22 12:58:26.245749
66,123,Fast Food,2025-07-22 12:58:26.245749,2025-07-22 12:58:26.245749
67,123,Healthy,2025-07-22 12:58:26.245749,2025-07-22 12:58:26.245749
